Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Atropello masivo deja múltiples daños en Villa Krause, San Juan","Un grave atropello masivo se registró en Villa Krause, San Juan. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Atropello masivo,-31.573212,-68.562543,18/01/2018
Fuga masiva de gas natural provoca emergencia en Caucete,"Un grave fuga masiva de gas natural se registró en Caucete, San Juan. El incidente destruyendo viviendas y dejando a familias evacuadas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Fuga masiva de gas natural,-31.646612,-68.230844,03/08/2014
Incendio en fábrica genera crisis en Quilmes,"Grave incendio en fábrica ocurrió en las inmediaciones de Quilmes, Buenos Aires. El incidente afectando gravemente la infraestructura local. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Incendio en fábrica,-34.675776,-58.238241,17/04/2003
"Detonación en fábrica sorprende a habitantes de Goya, Corrientes","Un grave detonación en fábrica se registró en Goya, Corrientes. El incidente destruyendo viviendas y dejando a familias evacuadas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Detonación en fábrica,-29.101055,-59.252038,21/02/2020
"Explosión seguida de incendio impacta en Gualeguay, Entre Ríos","Un grave explosión seguida de incendio se registró en Gualeguay, Entre Ríos. El incidente generando caos en el transporte público y privado. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Explosión seguida de incendio,-33.120037,-59.293536,07/08/2018
"Situación crítica por Descarrilamiento con derrame en Esquel, Chubut","Un grave descarrilamiento con derrame se registró en Esquel, Chubut. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Descarrilamiento con derrame,-42.861513,-71.341078,24/08/2004
"Emergencia por Fuego en centro comercial en Mercedes, Corrientes","Autoridades confirmaron un fuego en centro comercial en Mercedes, Corrientes. El incidente obligando a evacuar a residentes de la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego en centro comercial,-29.191787,-58.06526,26/10/2014
Emanación de gas tóxico provoca emergencia en Aimogasta,"Un grave emanación de gas tóxico se registró en Aimogasta, La Rioja. El incidente dejando a varios sectores sin comunicación. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Emanación de gas tóxico,-28.545702,-66.832969,07/07/2015
Equipos de emergencia atienden Fuga masiva de gas natural en La Quiaca,"Grave fuga masiva de gas natural ocurrió en las inmediaciones de La Quiaca, Jujuy. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Fuga masiva de gas natural,-22.091859,-65.555883,03/11/2021
"Declaran emergencia tras Derrumbe en obra en construcción en Mercedes, Corrientes","Grave derrumbe en obra en construcción ocurrió en las inmediaciones de Mercedes, Corrientes. El incidente obligando a evacuar a residentes de la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Derrumbe en obra en construcción,-29.178974,-58.088447,12/09/2009
"Accidente de avión causa estragos en Tigre, Buenos Aires","Grave accidente de avión ocurrió en las inmediaciones de Tigre, Buenos Aires. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente de avión,-34.457846,-58.572042,09/01/2010
"Incendio en viviendas sorprende a habitantes de Eduardo Castex, La Pampa","Autoridades confirmaron un incendio en viviendas en Eduardo Castex, La Pampa. El incidente afectando el normal desarrollo de actividades en la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Incendio en viviendas,-35.931397,-64.278766,19/06/2016
Accidente en paso a nivel afecta a Realicó,"Autoridades confirmaron un accidente en paso a nivel en Realicó, La Pampa. El incidente dejando a varios sectores sin comunicación. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente en paso a nivel,-35.021185,-64.274517,30/12/2000
"Embarcación en alerta por Fallo en planta procesadora, Salta","Un grave fallo en planta procesadora se registró en Embarcación, Salta. El incidente bloqueando las principales vías de acceso. Equipos de rescate continúan buscando posibles víctimas.",Fallo en planta procesadora,-23.190748,-64.123011,10/01/2022
"Serio incidente: Accidente con maquinaria industrial en Chos Malal, Neuquén","Un grave accidente con maquinaria industrial se registró en Chos Malal, Neuquén. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Accidente con maquinaria industrial,-37.345571,-70.241485,16/08/2001
"Caída de aeronave impacta en Venado Tuerto, Santa Fe","Grave caída de aeronave ocurrió en las inmediaciones de Venado Tuerto, Santa Fe. El incidente destruyendo viviendas y dejando a familias evacuadas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Caída de aeronave,-33.768051,-61.921032,08/08/2008
"Accidente en paso a nivel deja múltiples daños en Pehuajó, Buenos Aires","Grave accidente en paso a nivel ocurrió en las inmediaciones de Pehuajó, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente en paso a nivel,-35.855811,-61.940589,27/01/2020
Preocupación por Accidente con maquinaria industrial en Santiago del Estero,"Autoridades confirmaron un accidente con maquinaria industrial en Santiago del Estero, Santiago del Estero. El incidente dejando varios heridos y daños materiales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Accidente con maquinaria industrial,-27.808859,-64.22412,03/06/2022
Consecuencias graves tras Explosión seguida de incendio en General Güemes,"Un grave explosión seguida de incendio se registró en General Güemes, Salta. El incidente causando daños en cultivos y producción agrícola. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Explosión seguida de incendio,-24.707036,-65.042869,28/06/2009
"Serio incidente: Fallo en planta procesadora en Viedma, Río Negro","Grave fallo en planta procesadora ocurrió en las inmediaciones de Viedma, Río Negro. El incidente generando preocupación entre autoridades provinciales. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Fallo en planta procesadora,-40.800393,-63.021475,02/09/2014
"Equipos de emergencia atienden Choque de formaciones ferroviarias en Morón, Buenos Aires","Grave choque de formaciones ferroviarias ocurrió en las inmediaciones de Morón, Buenos Aires. El incidente dejando un rastro de destrucción importante. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Choque de formaciones ferroviarias,-34.650757,-58.624398,15/10/2022
Consecuencias graves tras Descarrilamiento de vagones en Famaillá,"Un grave descarrilamiento de vagones se registró en Famaillá, Tucumán. El incidente generando caos en el transporte público y privado. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Descarrilamiento de vagones,-27.008813,-65.363926,06/10/2009
Caída de aeronave sorprende a habitantes de Villa Krause,"Un grave caída de aeronave se registró en Villa Krause, San Juan. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha establecido un centro de operaciones para coordinar las ayudas.",Caída de aeronave,-31.569047,-68.554893,27/04/2020
Devastador Derrumbe en obra en construcción afecta a Presidencia Roque Sáenz Peña,"Un grave derrumbe en obra en construcción se registró en Presidencia Roque Sáenz Peña, Chaco. El incidente generando preocupación entre autoridades provinciales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Derrumbe en obra en construcción,-26.780008,-60.458782,04/06/2016
"Evacuaciones por Detonación en fábrica en General Pico, La Pampa","Autoridades confirmaron un detonación en fábrica en General Pico, La Pampa. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Detonación en fábrica,-35.612593,-63.778101,26/03/2012
Emergencia en aeropuerto afecta a Tafí Viejo,"Autoridades confirmaron un emergencia en aeropuerto en Tafí Viejo, Tucumán. El incidente provocando cortes de energía y problemas en el suministro de agua. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Emergencia en aeropuerto,-26.724191,-65.300626,19/11/2018
Serio incidente: Descarrilamiento de vagones en Bella Vista,"Grave descarrilamiento de vagones ocurrió en las inmediaciones de Bella Vista, Corrientes. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Descarrilamiento de vagones,-28.484352,-59.0068,07/02/2025
"Confirman Colapso de estructura de gran magnitud en Gualeguaychú, Entre Ríos","Grave colapso de estructura ocurrió en las inmediaciones de Gualeguaychú, Entre Ríos. El incidente provocando pánico entre los residentes locales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Colapso de estructura,-33.049386,-58.522014,01/08/2012
"Situación crítica por Colisión frontal en Marcos Juárez, Córdoba","Autoridades confirmaron un colisión frontal en Marcos Juárez, Córdoba. El incidente generando caos en el transporte público y privado. Equipos de rescate continúan buscando posibles víctimas.",Colisión frontal,-32.733496,-62.130404,27/05/2003
"Habitantes de Cipolletti afrontan Derrumbe de edificio, Río Negro","Un grave derrumbe de edificio se registró en Cipolletti, Río Negro. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Derrumbe de edificio,-38.929144,-67.954247,09/02/2004
"Evacuaciones por Accidente ferroviario con pasajeros en Victorica, La Pampa","Un grave accidente ferroviario con pasajeros se registró en Victorica, La Pampa. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Accidente ferroviario con pasajeros,-36.176558,-65.407232,02/03/2015
Emergencia por Accidente de tránsito múltiple en Puerto Deseado,"Autoridades confirmaron un accidente de tránsito múltiple en Puerto Deseado, Santa Cruz. El incidente bloqueando las principales vías de acceso. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente de tránsito múltiple,-47.723354,-65.903425,15/06/2006
Declaran emergencia tras Fuga en planta industrial en Paso de los Libres,"Grave fuga en planta industrial ocurrió en las inmediaciones de Paso de los Libres, Corrientes. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Fuga en planta industrial,-29.736316,-57.0425,06/01/2013
"Evacuaciones por Caída de construcción en Punta Alta, Buenos Aires","Un grave caída de construcción se registró en Punta Alta, Buenos Aires. El incidente generando serios daños ambientales en la región. Se han habilitado refugios temporales para las familias afectadas.",Caída de construcción,-38.857356,-62.106484,10/10/2006
Caída de aeronave impacta en Olavarría,"Grave caída de aeronave ocurrió en las inmediaciones de Olavarría, Buenos Aires. El incidente provocando pánico entre los residentes locales. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Caída de aeronave,-36.868375,-60.343297,29/11/2001
"Devastador Explosión en zona residencial afecta a Belgrano, CABA","Un grave explosión en zona residencial se registró en Belgrano, CABA. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Explosión en zona residencial,-34.550269,-58.430774,24/10/2012
"Preocupación por Explosión de origen desconocido en Alta Gracia, Córdoba","Grave explosión de origen desconocido ocurrió en las inmediaciones de Alta Gracia, Córdoba. El incidente dejando un rastro de destrucción importante. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Explosión de origen desconocido,-31.68427,-64.409437,18/03/2016
Confirman Derrumbe en obra en construcción de gran magnitud en Gálvez,"Grave derrumbe en obra en construcción ocurrió en las inmediaciones de Gálvez, Santa Fe. El incidente dejando varios heridos y daños materiales. Equipos de rescate continúan buscando posibles víctimas.",Derrumbe en obra en construcción,-32.025684,-61.175521,23/10/2004
"Explosión seguida de incendio provoca emergencia en Humahuaca, Jujuy","Un grave explosión seguida de incendio se registró en Humahuaca, Jujuy. El incidente generando serios daños ambientales en la región. Bomberos y personal de seguridad trabajan intensamente en la zona.",Explosión seguida de incendio,-23.165936,-65.333534,31/05/2000
Autoridades responden a Incendio con víctimas en Recoleta,"Un grave incendio con víctimas se registró en Recoleta, CABA. El incidente dejando a varios sectores sin comunicación. Bomberos y personal de seguridad trabajan intensamente en la zona.",Incendio con víctimas,-34.579924,-58.390282,03/10/2017
"Emergencia por Accidente vehicular en San Salvador de Jujuy, Jujuy","Autoridades confirmaron un accidente vehicular en San Salvador de Jujuy, Jujuy. El incidente causando pérdidas millonarias y afectando a cientos de personas. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Accidente vehicular,-24.171753,-65.343547,08/01/2012
Cafayate sufre las consecuencias de Incidente aéreo,"Un grave incidente aéreo se registró en Cafayate, Salta. El incidente con un saldo inicial de varias personas heridas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Incidente aéreo,-26.108437,-65.935003,03/02/2012
"Serio incidente: Pérdida de gas con evacuación en Lomas de Zamora, Buenos Aires","Autoridades confirmaron un pérdida de gas con evacuación en Lomas de Zamora, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Pérdida de gas con evacuación,-34.723961,-58.444495,14/06/2024
Declaran emergencia tras Colisión frontal en Malargüe,"Autoridades confirmaron un colisión frontal en Malargüe, Mendoza. El incidente generando serios daños ambientales en la región. La población ha sido alertada para tomar precauciones adicionales.",Colisión frontal,-35.436494,-69.602529,06/07/2004
Devastador Caída de aeronave afecta a General Pico,"Un grave caída de aeronave se registró en General Pico, La Pampa. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Caída de aeronave,-35.662775,-63.708353,19/06/2015
Impacto de Explosión seguida de incendio en comunidad de San Nicolás,"Grave explosión seguida de incendio ocurrió en las inmediaciones de San Nicolás, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Explosión seguida de incendio,-33.284996,-60.230198,07/04/2013
"Declaran emergencia tras Descarrilamiento con derrame en Villaguay, Entre Ríos","Un grave descarrilamiento con derrame se registró en Villaguay, Entre Ríos. El incidente bloqueando las principales vías de acceso. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Descarrilamiento con derrame,-31.890485,-59.06578,22/04/2020
San Martín en alerta por Descarrilamiento de tren,"Grave descarrilamiento de tren ocurrió en las inmediaciones de San Martín, Mendoza. El incidente dejando a la población incomunicada por varias horas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Descarrilamiento de tren,-33.048599,-68.467297,24/05/2020
"Evacuaciones por Avioneta caída en Rivadavia, San Juan","Grave avioneta caída ocurrió en las inmediaciones de Rivadavia, San Juan. El incidente dejando a la población incomunicada por varias horas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Avioneta caída,-31.56939,-68.63802,16/07/2024
Se reporta Deflagración en planta industrial en zona de Oberá,"Autoridades confirmaron un deflagración en planta industrial en Oberá, Misiones. El incidente provocando pánico entre los residentes locales. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Deflagración en planta industrial,-27.46966,-55.078321,18/12/2018
Colisión de tren de carga causa estragos en Tinogasta,"Autoridades confirmaron un colisión de tren de carga en Tinogasta, Catamarca. El incidente dejando a la población incomunicada por varias horas. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colisión de tren de carga,-28.079142,-67.527952,07/04/2012
"Se reporta Accidente con maquinaria industrial en zona de Lomas de Zamora, Buenos Aires","Un grave accidente con maquinaria industrial se registró en Lomas de Zamora, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente con maquinaria industrial,-34.713205,-58.396671,01/06/2023
"Situación crítica por Descarrilamiento con derrame en Santa Rosa, La Pampa","Grave descarrilamiento con derrame ocurrió en las inmediaciones de Santa Rosa, La Pampa. El incidente generando preocupación entre autoridades provinciales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Descarrilamiento con derrame,-36.637546,-64.3253,13/08/2005
Situación crítica por Fuego en local comercial en Villa Mercedes,"Autoridades confirmaron un fuego en local comercial en Villa Mercedes, San Luis. El incidente destruyendo viviendas y dejando a familias evacuadas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Fuego en local comercial,-33.680192,-65.425194,22/08/2019
Habitantes de Trenque Lauquen afrontan Fallo en planta procesadora,"Autoridades confirmaron un fallo en planta procesadora en Trenque Lauquen, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fallo en planta procesadora,-35.981214,-62.693242,04/02/2024
"Evacuaciones por Accidente de tránsito múltiple en Quilmes, Buenos Aires","Un grave accidente de tránsito múltiple se registró en Quilmes, Buenos Aires. El incidente afectando gravemente la infraestructura local. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente de tránsito múltiple,-34.757023,-58.236765,02/05/2015
Incendio con víctimas provoca emergencia en Puerto Madryn,"Autoridades confirmaron un incendio con víctimas en Puerto Madryn, Chubut. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incendio con víctimas,-42.762177,-65.045626,08/05/2004
"Colapso por fallas estructurales provoca emergencia en Cutral Có, Neuquén","Grave colapso por fallas estructurales ocurrió en las inmediaciones de Cutral Có, Neuquén. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha establecido un centro de operaciones para coordinar las ayudas.",Colapso por fallas estructurales,-38.941524,-69.227784,13/06/2020
Habitantes de Tandil afrontan Corte prolongado de energía,"Grave corte prolongado de energía ocurrió en las inmediaciones de Tandil, Buenos Aires. El incidente generando caos en el transporte público y privado. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Corte prolongado de energía,-37.313191,-59.118939,08/08/2013
"San Ramón de la Nueva Orán afectado por Derrumbe parcial, Salta","Autoridades confirmaron un derrumbe parcial en San Ramón de la Nueva Orán, Salta. El incidente causando daños en cultivos y producción agrícola. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Derrumbe parcial,-23.160335,-64.30159,09/09/2001
Confirman Incendio en edificio residencial de gran magnitud en Aguilares,"Un grave incendio en edificio residencial se registró en Aguilares, Tucumán. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Incendio en edificio residencial,-27.457995,-65.597218,31/01/2024
"Preocupación por Accidente con transporte público en Cruz del Eje, Córdoba","Grave accidente con transporte público ocurrió en las inmediaciones de Cruz del Eje, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente con transporte público,-30.6906,-64.845291,10/01/2008
"Emergencia por Escape de gas en Yerba Buena, Tucumán","Un grave escape de gas se registró en Yerba Buena, Tucumán. El incidente provocando la activación de protocolos de emergencia. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Escape de gas,-26.842336,-65.356148,19/11/2018
"Serio incidente: Estallido con víctimas en Mercedes, Corrientes","Grave estallido con víctimas ocurrió en las inmediaciones de Mercedes, Corrientes. El incidente generando preocupación entre autoridades provinciales. La población ha sido alertada para tomar precauciones adicionales.",Estallido con víctimas,-29.156326,-58.088823,15/02/2008
"Serio incidente: Incidente en fábrica en San Juan, San Juan","Autoridades confirmaron un incidente en fábrica en San Juan, San Juan. El incidente causando daños en cultivos y producción agrícola. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Incidente en fábrica,-31.575064,-68.520184,20/01/2022
"Accidente con químicos industriales causa estragos en Pehuajó, Buenos Aires","Grave accidente con químicos industriales ocurrió en las inmediaciones de Pehuajó, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. Se ha establecido un centro de operaciones para coordinar las ayudas.",Accidente con químicos industriales,-35.834593,-61.925559,06/10/2020
"Consecuencias graves tras Caída de aeronave en Morón, Buenos Aires","Autoridades confirmaron un caída de aeronave en Morón, Buenos Aires. El incidente con un saldo inicial de varias personas heridas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Caída de aeronave,-34.66242,-58.626462,30/12/2004
Declaran emergencia tras Fallo en vuelo en Las Heras,"Autoridades confirmaron un fallo en vuelo en Las Heras, Santa Cruz. El incidente dejando varios heridos y daños materiales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fallo en vuelo,-46.571713,-68.958674,13/02/2016
Devastador Colapso por fallas estructurales afecta a Bella Vista,"Grave colapso por fallas estructurales ocurrió en las inmediaciones de Bella Vista, Corrientes. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Colapso por fallas estructurales,-28.526819,-59.068007,28/10/2023
"Preocupación por Detonación en fábrica en Jardín América, Misiones","Un grave detonación en fábrica se registró en Jardín América, Misiones. El incidente obligando a evacuar a residentes de la zona. Se han habilitado refugios temporales para las familias afectadas.",Detonación en fábrica,-27.075306,-55.206872,16/07/2016
"Situación crítica por Estallido de gasoducto en Mar del Plata, Buenos Aires","Autoridades confirmaron un estallido de gasoducto en Mar del Plata, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Estallido de gasoducto,-38.005046,-57.49354,16/11/2001
"Fuga en planta industrial deja múltiples daños en Villa Krause, San Juan","Un grave fuga en planta industrial se registró en Villa Krause, San Juan. El incidente dejando varios heridos y daños materiales. El municipio ha activado el protocolo de emergencias para esta situación.",Fuga en planta industrial,-31.522686,-68.542416,18/08/2020
Comodoro Rivadavia afectado por Accidente en paso a nivel,"Un grave accidente en paso a nivel se registró en Comodoro Rivadavia, Chubut. El incidente interrumpiendo servicios básicos en toda la zona. Se han habilitado refugios temporales para las familias afectadas.",Accidente en paso a nivel,-45.81963,-67.490497,31/03/2022
Evacuaciones por Accidente ferroviario con pasajeros en Casilda,"Un grave accidente ferroviario con pasajeros se registró en Casilda, Santa Fe. El incidente destruyendo viviendas y dejando a familias evacuadas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente ferroviario con pasajeros,-33.005025,-61.145014,31/07/2022
Derrumbe con personas atrapadas impacta en Recoleta,"Grave derrumbe con personas atrapadas ocurrió en las inmediaciones de Recoleta, CABA. El incidente dejando un rastro de destrucción importante. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Derrumbe con personas atrapadas,-34.540118,-58.42592,31/07/2024
"Declaran emergencia tras Fallo en vuelo en San Rafael, Mendoza","Autoridades confirmaron un fallo en vuelo en San Rafael, Mendoza. El incidente afectando gravemente la infraestructura local. La población ha sido alertada para tomar precauciones adicionales.",Fallo en vuelo,-34.631798,-68.328522,22/07/2013
Caída de construcción impacta en Trenque Lauquen,"Un grave caída de construcción se registró en Trenque Lauquen, Buenos Aires. El incidente bloqueando las principales vías de acceso. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Caída de construcción,-35.939106,-62.719253,24/08/2024
"Fuego en local comercial genera crisis en Tandil, Buenos Aires","Autoridades confirmaron un fuego en local comercial en Tandil, Buenos Aires. El incidente afectando gravemente la infraestructura local. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fuego en local comercial,-37.286956,-59.128623,20/06/2000
Evacuaciones por Incendio con víctimas en Aguilares,"Un grave incendio con víctimas se registró en Aguilares, Tucumán. El incidente destruyendo viviendas y dejando a familias evacuadas. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Incendio con víctimas,-27.401154,-65.656106,11/10/2002
"Serio incidente: Accidente ferroviario con pasajeros en La Rioja, La Rioja","Grave accidente ferroviario con pasajeros ocurrió en las inmediaciones de La Rioja, La Rioja. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Accidente ferroviario con pasajeros,-29.370914,-66.823006,23/10/2024
Fuga en gasoducto genera crisis en Cosquín,"Un grave fuga en gasoducto se registró en Cosquín, Córdoba. El incidente afectando el normal desarrollo de actividades en la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Fuga en gasoducto,-31.275268,-64.502803,09/02/2011
Emergencia por Escape de gas domiciliario en San Fernando del Valle de Catamarca,"Grave escape de gas domiciliario ocurrió en las inmediaciones de San Fernando del Valle de Catamarca, Catamarca. El incidente destruyendo viviendas y dejando a familias evacuadas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Escape de gas domiciliario,-28.433015,-65.77339,08/09/2010
Emergencia por Explosión en zona residencial en Río Tercero,"Grave explosión en zona residencial ocurrió en las inmediaciones de Río Tercero, Córdoba. El incidente dejando un rastro de destrucción importante. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Explosión en zona residencial,-32.133685,-64.153086,15/10/2009
"La Paz en alerta por Accidente en planta industrial, Entre Ríos","Autoridades confirmaron un accidente en planta industrial en La Paz, Entre Ríos. El incidente con un saldo inicial de varias personas heridas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente en planta industrial,-30.754133,-59.627059,19/01/2025
Derrumbe de edificio causa estragos en Barranqueras,"Un grave derrumbe de edificio se registró en Barranqueras, Chaco. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Derrumbe de edificio,-27.499578,-58.927056,14/07/2017
